title,first_cleaned_reviews
7 Days to Die,버전 버전 현재 현재 버전 버전 계속 계속 해보다 해보다 처음 처음 평가 평가 해보다 해보다 이 게임 나름 나름 매력 매력 있다 재미 재미 있다 많다 많다 장점 장점 단점 단점 있다 초반 초반 좀비 좀비 동물 동물 배고프다 배고프다 목마름 목마름 싸움 싸움 이기다 이기다 도망 도망 줍다 줍다 탐험 탐험 다니다 다니다 거점 거점 잡다 잡다 이제 정도 정도 발전 발전 하다 싶다 싶다 편하다 편하다 막상 막상 발전 발전 시작 시작 하다 하다 뭐 하다 지다 지다 막막하다 막막하다 여러가지 여러가지 해보다 해보다 찾아보다 찾아보다 둘러보다 둘러보다 전투 전투 하다 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 파밍 하다 는걸 는걸 계속 계속 하다 보다 어느새다 어느새다 일차 일차 밤 좀비 좀비 러쉬 러쉬 시작 시작 되다 무섭다 무섭다 되다 점차 점차 좀비 좀비 계속 계속 하다 강력하다 강력하다 이상하다 이상하다 놈 자꾸 자꾸 튀어나오다 튀어나오다 버전 버전 들어서다 들어서다 점차 점차 이상하다 이상하다 좀비 좀비 등장 등장 하다 점점 더 게임 재미 재미 느끼다 느끼다 하다 생존 생존 방식 방식 뭐 다양하다 다양하다 터렛 터렛 있다 기류 기류 있다 폭탄 폭탄 마로 마로 설치다 설치다 되다 아니다 요새 요새 쌓다 쌓다 좀비 좀비 러쉬 러쉬 막다 막다 벙커 벙커 찾다 찾다 들어가다 들어가다 살다 살다 함정 함정 만들다 만들다 별 별 방법 방법 살아나다 살아나다 가보다 가보다 재밌다 재밌다 정말 단점 단점 새끼 년 얼리다 얼리다 스 하다 건지다 건지다 모르다 모르다 새끼 밴딧 밴딧 약탈 약탈 만들다 만들다 하다 아무렇다 아무렇다 소식 소식 없다 베히모스 베히모스 이다 보스 보스 몬스터 몬스터 만들다 만들다 말 하다 만들다 만들다 최적화 최적화 관련 관련 하다 버전 버전 해보다 해보다 예전 예전 확실하다 확실하다 최적화 최적화 열심히 열심히 하다 그래픽 그래픽 엄청 엄청 올라오다 올라오다 느껴지다 느껴지다 예전 예전 거의 찱흙 찱흙 이다 이제 그래도 꽤 게 이다 지다 지다 생각 들다 들다 정도 정도 좋아지다 좋아지다 이다 게임 수준 수준 친구 친구 같이 노가리 노가리 끄다 끄다 광부 광부 질도 질도 하다 생산 생산 직도 직도 하다 전투 전투 하다 그렇다 발전 발전 하다 나가다 나가다 보다 어느새다 어느새다 좀비 좀비 새끼 밥 보이 보이 건축 건축 하다 바쁘다 바쁘다 겁니다 자기 집 만들다 만들다 아니다 고층 고층 농장 농장 아파트 아파트 만들다 만들다 자동차 자동차 타고 타고 전세계 전세계 돌아다니다 돌아다니다 그렇다 놀다 놀다 보다 어느새다 어느새다 시간 금방 금방 지나가다 지나가다 여기 글 읽다 읽다 사람 없다 것 같다 확실하다 확실하다 진짜 진짜 재밌다 재밌다 친구 친구 같이 마음 마음 맞다 맞다 정말 재밌다 재밌다 하다 있다 한번 해보다 해보다 일 하다 때 사서 사서 친구 친구 같이 나누다 나누다 하다 더 좋다 좋다 저 더 가격 싸다 싸다 기다 기다 글 읽다 읽다 감사하다 감사하다
7 Days to Die,데이즈 데이즈 마인크래프트 마인크래프트 조합 조합 비우다 비우다 따다 따다 마인 마인 크다 크다 데이즈 데이즈 중점 중점 디펜스 디펜스 식 만들어지다 만들어지다 게임 것 같다 맵 확장 확장 자동차 자동차 추가 추가 하다 들다 들다 지금 아직 아직 알파 알파 단계 단계 아이템 아이템 아직 아직 적절하다 적절하다 추가 추가 하다 같다 멀티 멀티 로서 정말 팀원 팀원 끼리 끼리 디펜스 디펜스 집 성 제작 제작 해보다 해보다 나쁘다 나쁘다 않다 같다 데이즈 데이즈 투 다 늘다 늘다 먹다 먹다 거리 거리 대해 선 걱정 걱정 하다 되다 같다 집 뒤지다 보다 있다 근데 근데 역시 총 구력 구력 있다 찻는것 찻는것 전보 전보 확률 확률 조금 낮아지다 낮아지다 집 정말 좋다 좋다 확률 확률 금고 금고 가다 가다 열다 열다 템 수로 수로 좋다 좋다 거나 거나 오다 오다 이렇게 아직 아직 맵 넓히다 넓히다 않다 알파 알파 단계 단계 조금 섣불리 섣불리 구매 하다 분 저 대화 대화 하다 검색 검색 치다 치다 더 많다 많다 정보 정보 얻다 얻다 신후 신후 구매 하다 추천 추천 드리다 드리다 신중하다 신중하다 이 알파 알파 단계 단계 참여 참여 해보다 해보다 구매 하다 되다 같다 마인크래프트 마인크래프트 이용자 이용자 이다 분 조합 조합 쉬다 쉬다 적응 적응 되다 알다 알다 셧던 셧던 조금 힘들다 힘들다 느껴지다 느껴지다 합법 합법 공식 공식 홈페이지 홈페이지 있다 그 아이템 아이템 얻다 얻다 위해 선 책 필요하다 필요하다 즉 도면 도면 이다 도면 도면 책 있다 자기 원하다 원하다 아이템 아이템 제작 제작 가능하다 가능하다 더 유일하다 유일하다 텃밭 텃밭 가꾸다 가꾸다 이용 이용 하다 자기 먹다 먹다 채집 채집 하다 되다 같다 심다 심다 채집 채집 가능하다 가능하다 옥수수 옥수수 또 여러가지 여러가지 있다 더 추가 추가 되다 하니 하니 기대 기대 해주다 해주다 아무튼 아무튼 팀원 팀원 끼리 끼리 힘 합치다 합치다 건장하다 건장하다 집 강력하다 강력하다 방어 방어 막 이용 이용 하다 더 신선하다 신선하다 재미 재미 즐기다 즐기다 모두 좀 비키다 비키다 해보다 해보다 가격 내리다 내리다 더 한번 더 생각 해보다 해보다 되다 여기 글 읽다 읽다 감사하다 감사하다 새해 새해 복 많이 많이 받다 받다 궁금하다 궁금하다 있다 친추 친추 걸다 걸다 답변 답변 해드리다 해드리다
7 Days to Die,이 명작 명작 곡길 곡길 스탭님 스탭님 알다 알다 킹 받다 받다
7 Days to Die,
7 Days to Die,유투 유투 버 웁 게임 맨날 맨날 잠들다 잠들다 하다 하 재밌다 재밌다 하다 나다 나다 함 결제 결제 해봤다 해봤다 근데 근데 재밌다 재밌다 이렇게 재밌다 재밌다 되다 겁
7 Days to Die,파밍 파밍 하다 맛 있다 건축 건축 하다 맛 있다 사냥 사냥 하다 맛 있다 같이 하다 친구 친구 없다
7 Days to Die,일 이내 이내 집 안다 죽다 죽다 게임 근데 근데 집다 집다 무슨 짱깨 짱깨 부실 부실 공사 공사 마냥 마냥 부서지다 부서지다
7 Days to Die,친구 친구 같다 이미 이미 사다 사다 팩 더 사서 사서 선물 선물 하다 김상우 김상우 남헌 남헌 개새끼 몇번 몇번 뒤지다 재미없다 재미없다 안함 안함 개꿀잼 개꿀잼
7 Days to Die,옷장 옷장 작작 작작 나와라 나와라
7 Days to Die,레벨 레벨 짜다 짜다 뉴비 뉴비 느끼다 느끼다 객관 객관 평가 평가 기본 기본 틀 자체 자체 재미 재미 있다 나름 나름 기본 기본 중독 중독 성도 성도 있다 다만 무궁무진 무궁무진 하다 활용 활용 높다 높다 게임 년 내놓다 내놓다 년 넘다 넘다 아직도 아직도 얼리다 얼리다 차로 차로 용서 용서 안되다 차로 차로 용서 용서 안되다 씨부랄 게임 나오다 나오다 년 넘다 넘다 되다 아직도 아직도 최적화 최적화 개 지랄 발작 임 게임 그래픽 그래픽 풀옵 풀옵 눈대중 눈대중 감안 감안 하다 컴 풀옵 풀옵 돌리다 돌리다 남다 남다 블러디 블러디 문 물가 물가 가면 가면 프레임 프레임 떡락한다 떡락한다 진짜 진짜 썅 게다가 개발자 개발자 씹다 씹다 새끼 새끼 내 가보다 가보다 때 얼리다 얼리다 걸다 걸다 손 대다 대다 확실하다 확실하다 상점 상점 짤 리기 리기 싫다 싫다 야금야금 야금야금 업뎃 업뎃 하다 틀림없다 존나 노 양심 양심 이렇다 이렇다 얼리다 얼리다 스 장난 장난 지다 지다 놈 때문 스팀 얼리다 얼리다 스 년 넘기다 넘기다 업뎃 업뎃 의사 의사 없다 는걸 는걸 간주 간주 상점 상점 무조건 무조건 내리다 내리다 하다 함 재 되다 업데이트 업데이트 나오다 나오다 그때 가다 가다 평가 평가 재 수정 수정 함 엔진 엔진 바꾸다 바꾸다 좀 바꾸다 바꾸다 좀
