title,first_cleaned_reviews
Phoenix Wright: Ace Attorney Trilogy,항아리 항아리 글씨 글씨 멘탈 멘탈 터지다 터지다 말다 말다 아직 아직 다 못 깨다 깨다 실망 실망 부분 부분 있다 편 소생 하다 역전 역전 항아리 항아리 특정 특정 인물 인물 이름 이름 점 점 선 잇다 잇다 파트 파트 버그 제대로 적어도 적어도 판정 판정 이상하다 이상하다 저 해결 해결 방법 방법 부분 부분 점 잇다 잇다 않다 점 잇다 잇다 것 이다 글자 글자 뒤지다 설명 설명 하다 애매하다 애매하다
Phoenix Wright: Ace Attorney Trilogy,역전재판 역전재판 은 나오다 나오다 끝내다 끝내다 나니 나니 너무 허전하다 허전하다 나오다 나오다 프로 프로 사다 사다 비싸다 비싸다 살다 살다 제발 제발 내주다 내주다
Phoenix Wright: Ace Attorney Trilogy,제발 제발 역전재판 역전재판 역전재판 역전재판 역전검사 역전검사 줄다 줄다 저 이렇게 구매 하다
Phoenix Wright: Ace Attorney Trilogy,어리다 어리다 시절 시절 밤잠 밤잠 설치 설치 하다 게임 에뮬레이터 에뮬레이터 처음 처음 접 난 뒤 피처폰 피처폰 시절 시절 하다 에피소드 에피소드 날짜 날짜 별로 별로 쪼개다 쪼개다 개다 천원 천원 파다 파다 시절 시절 플레이 하다 이미 이미 다 클리어 클리어 하다 그 시절 시절 즐겁다 즐겁다 기쁨 기쁨 무료 무료 누리다 누리다 시절 시절 뉘우치다 뉘우치다 하다 사다 사다 스토리 스토리 알 해도 이 작품 작품 특유 전개 전개 좋다 좋다 꼭 편의 편의 끝 플레이 해보다 해보다 추억 추억 경험 경험 다시금 느끼다 느끼다 수 있다 행복하다 행복하다
Phoenix Wright: Ace Attorney Trilogy,악마 악마 같다 스팀 놈 내 지갑 지갑 할인 풀다 풀다 나 이 게임 찜 하다 할인 되다 시원하다 시원하다 지르다 지르다 버리다 버리다 세상 세상 가지 가지 부류 부류 사람 있다 역전재판 역전재판 그립다 그립다 사람과 사람과 역전재판 역전재판 해 본적 본적 없다 사람 내 고등학교 고등학교 때 제일 제일 하다 좋아하다 좋아하다 과목 과목 근현대사 근현대사 이다 중 때 마루타 마루타 소설 소설 접 하다 대학 대학 때 일본 일본 우리나라 우리나라 하다 문화 문화 말살 말살 정책 정책 를 주제 주제 분간 분간 발표 발표 그 수업 수업 먹다 먹다 말 즉슨 즉슨 난 일본 일본 좋아하다 좋아하다 수가 수가 없다 거 한국인 한국인 있다 일본 일본 역사 역사 알다 알다 만큼 싫어지다 싫어지다 게다가 난 일본 일본 요리 요리 입 맞다 맞다 일본 일본 여행 여행 가보다 가보다 제 외국어 외국어 중국어 중국어 일본어 일본어 뭣 모르다 모르다 그렇다 내 정말 잊다 잊다 수 없다 일본어 일본어 있다 이기다 이기다 이 게임 추리소설 추리소설 광팬 광팬 이다 고 의 내 공부 공부 때리다 때리다 치우다 치우다 푹 빠지다 빠지다 밤새 밤새 하다 게임 그땐 그땐 심지어 음성 음성 일본어 일본어 이다 한글 한글 자막 자막 정말 친구 친구 물어보다 물어보다 어렵다 어렵다 설치 설치 하다 하다 기억 기억 나다 나다 시리즈 시리즈 몇개 몇개 없다 플레이 타임 타임 길다 길다 않다 천만 천만 다행 다행 이다 이 게임 사고 사고 싶다 싶다 사람 나오다 나오다 같다 향수 향수 젖다 젖다 것 그때 재미있다 재미있다 하다 그 기억 기억 게임 지르다 지르다 기전 기전 나 걱정 걱정 하다 모르다 모르다 오다 오다 그때 게임 하다 힌트 힌트 멘트 멘트 내용 내용 다 기억나다 기억나다 어떡하다 어떡하다 기껏 기껏 사다 사다 생각 재미없다 재미없다 어떡하다 어떡하다 인간 인간 망각 망각 생각 위대하다 위대하다 것 같다 힌트 힌트 위치 위치 기억 기억 하나 안나 안나 태클 태클 걸다 걸다 하다 타이밍 타이밍 역시 기억 기억 안나 안나 날 너무 과대 과대 평가 평가 하다 어제 어제 먹다 먹다 아침 아침 초 버퍼링 버퍼링 후 기억 기억 나다 나다 걸 기억 기억 하다 있다 곸 이렇다 이렇다 있다 내용 내용 이다 이렇다 이렇다 이르다 플레이 하다 되다 추억 추억 가지다 가지다 채 처음 처음 새롭다 새롭다 플레이 하다 수 있다 그래픽 그래픽 그림 그림 체 그때 당연하다 당연하다 향상 향상 되어다 되어다 추가 추가 되다 스토리 스토리 당연하다 당연하다 많다 많다 언어 언어 장벽 장벽 때문 플레이 해보다 해보다 하다 시리즈 시리즈 이제 플레이 하다 수 있다 되다 두 하다 역시 클라스 클라스 영원하다 영원하다 명작 명작 이다 사다 사다
Phoenix Wright: Ace Attorney Trilogy,이번 말로 말로 마지막 마지막 진국 진국 일 것 그 의문 의문 이의 이의 있다 이 리뷰 리뷰 역전재판 역전재판 에피소드 에피소드 안녕하다 안녕하다 역전 역전 편 중간 중간 플레이 후 것 이다 깔끔하다 깔끔하다 그래픽 그래픽 포함 포함 부드럽다 부드럽다 모션 모션 일부 일부 리 마스터 마스터 변경 변경 실수 실수 방지 방지 용 증거 증거 재 추다 추다 키 변경 변경 및 지문 지문 조회 조회 등등 패드 패드 및 진동 진동 기능 기능 하루 하루 밉다 밉다 테마 테마 이 들리다 들리다 모바일 모바일 판 버그 들리다 들리다 각 언어 언어 세이브 따로 따로 보관 보관 개 마이크 마이크 미지 미지 음성 음성 및 자막 자막 언어 언어 따로 따로 변경 변경 되다 않다 이미 이미 완료 완료 에피소드 에피소드 새롭다 새롭다 플레이 하다 에피소드 에피소드 시작 시작 일차 일차 지정 지정 하다 없다 엄청 엄청 우려 우려 내다 내다 살짝 살짝 납득 납득 안되다 가격 음성 음성 지원 지원 아쉬움 아쉬움 기존 기존 한글 한글 판 플레이 하다 영어 영어 판 플레이 하다 이름 이름 증거 증거 품 인물정보 인물정보 등 적응 적응 안되다 있다 영어 영어 판 로컬라이징 로컬라이징 상당하다 상당하다 만족하다 만족하다 플레이 하다 있다 한국어 한국어 버전 버전 년 월 예정 예정 이다 급하다 급하다 구입 구입 하다 않다 분 월 언어 언어 업데이트 업데이트 이후 구입 구입 추천 추천 드리다 드리다
Phoenix Wright: Ace Attorney Trilogy,너무 좋다 좋다 나루 나루 호도 호도 은 삼다수 삼다수 때 너무 많이 많이 나오다 나오다 역전재판 역전재판 도 화 시키다 볼 수 있다 좋다 좋다 꼭 부탁드리다 부탁드리다 정말로 정말로 제 시절 시절 바치다 바치다 게임 이다
Phoenix Wright: Ace Attorney Trilogy,등장인물 등장인물 하나같이 하나같이 다 개 빡치다 빡치다
Phoenix Wright: Ace Attorney Trilogy,역다 역다 추천 추천 하다 이유 이유 있다 불 다해 다해 햇던 햇던 놈 일단 양심 양심 사다 사다 함 사서 사서 하다 회사 회사 역 검도 검도 내놓다 내놓다 역다 역다 도 내놓다 내놓다 대역 대역 검도 검도 내놓다 내놓다
Phoenix Wright: Ace Attorney Trilogy,판 사고 사고 스팀 판 사고 사고 스위치 스위치 판 사고 사고 역전검사 역전검사 편도 편도 내주다 내주다 않다
