title,first_cleaned_reviews
Propnight,오다 오다 나 진짜 진짜 별 게임 핵 만나다 만나다 몇 판 나오다 나오다 볼멘소리 볼멘소리 하다 사람 아니다 이 게임 진심 진심 핵 판치다 판치다 거 어떻다 어떻다 안 해주다 해주다 게임 조 지다 지다 게임 자체 자체 진짜 진짜 재밌다 재밌다 사보다 사보다 지금 당장 아니다 밸런스 밸런스 자다 자다 잡히다 잡히다 편도 편도 아니다 커뮤니티 커뮤니티 보고 핵 정도 정도 잡히다 잡히다 때 보류 보류 추천 추천 함 개발자 개발자 방치 방치 수준 수준 나 두다 두다 있다
Propnight,뉴비 뉴비 괴롭히다 괴롭히다 쥰내 쥰내 재다 재다 시 팔 차라리 내 접다 접다 같다 련들 련들
Propnight,쓰레기 쓰레기 게임 핑핑 핑핑 이의 이의 노예 노예 빵 빵 거리 거리 면서 면서 핵 쓰다 쓰다 플레이 제물 제물 되다 싶다 싶다 게임 사서 사서 하다 되다 시간 하다 판 판핵 판핵 만나다 만나다 바로 환불 때리다 때리다 가다 가다 시간 넘다 넘다 천만다행 천만다행
Propnight,진짜 진짜 생존자 생존자 그 따다 따다 살 마르다 마르다 진짜 진짜 너 때문 환불 하다 번 하다 믿다 믿다 다시 하다 번 사다 사다 시간 지나다 지나다 환불 못 하다 진짜 진짜 나 오늘 오늘 잠 못 자게 자게 생기다 생기다 아깝다 아깝다 그 검정색 검정색 은 갈치 갈치 남자 남자 애 카메라 카메라 쓰다 쓰다 놈 네 진짜 진짜 인큐 인큐 너 사람 아니다 상처 상처 받다 받다 왜 신고 신고 기능 기능 없다
Propnight,수탉 수탉 하다 거 이다
Propnight,
Propnight,현재 현재 선 핵 많이 많이 보이다 보이다 편 하루 하루 하다 번 만나다 만나다 말 끄다 끄다 확률 확률 핵 안 보이다 보이다 혐한 혐한 생기다 생기다 살인마 살인마 생존자 생존자 둘 다 하다 유저 로서 살인마 살인마 나름 나름 캠핑 캠핑 터널링 터널링 하다 그것 채팅 채팅 지랄 제일 제일 먼저 먼저 의자 의자 뒤지다 놈 애 캐리 캐리 이기 이기 채팅 채팅 살인마 살인마 승질 승질 긁다 긁다 출구 출구 열리다 열리다 안 나가다 나가다 버팅 버팅 기면 기면 살인마 살인마 대가리 깨다 깨다 인성 인성 질 그냥 나가다 나가다 달라 달라 부탁 부탁 하다 끝 니 잡다 잡다 보다 좃밥 좃밥 식 살인마 살인마 코인 코인 주다 주다 나가다 나가다 것 안 바람 바람 그냥 출구 출구 열리다 열리다 빨리 빨리 빨리 빨리 나가다 나가다 좋다 좋다 생존자 생존자 하다 혐한 혐한 안 생기다 생기다 그것 아니다 입 게임 하다 애 너무 많다 많다 제일 제일 먼저 먼저 죽다 죽다 자기 감독 감독 그 따다 따다 하다 하다 이렇다 이렇다 저렇다 저렇다 자기 뜻대로 뜻대로 안되다 쌍욕 쌍욕 게임 하다 질 수도 수도 있다 걸 지면 지면 탓 이기 이기 탓 식이 식이 보이스 보이스 막다 막다 것 처럼 채팅 채팅 뮤트 뮤트 하다 법도 법도 생기다 생기다 좋다 좋다 이 게임 추천 추천 드리다 드리다 유형 유형 누가 뭐라다 뭐라다 하든 하든 묵묵하다 묵묵하다 자기 하다 일 자다 자다 하다 분 멘탈 멘탈 강력하다 강력하다 분 입터 입터 유저 실력 실력 누르다 누르다 수 있다 분
Propnight,짱 깨 차 단 해
Propnight,게임 플레이 자체 자체 굉장하다 굉장하다 박하 박하 재밌다 재밌다 사물 사물 변신 변신 하다 살인마 살인마 도망 도망 숨다 숨다 살아나다 살아나다 생존자 생존자 끼리 끼리 프롭머신 프롭머신 수리 수리 하다 탈출 탈출 하다 협동 협동 멀티 멀티 게임 플레이 타임 타임 쌓이다 쌓이다 초기 초기 때 다르다 다르다 변절 변절 되다 플레이 방식 방식 다소 아쉽다 아쉽다 하다 초반 초반 살인마 살인마 제일 제일 무섭다 무섭다 근처 근처 사물 사물 숨다 숨다 제발 제발 걸리다 걸리다 기만 기만 빌다 빌다 발전기 발전기 조금 켜 보다 맵 돌아다니다 돌아다니다 살인마 살인마 마주치다 마주치다 그야말로 그야말로 공포 공포 게임 다름없다 다름없다 지금 대다수 대다수 플레이 도망 도망 숨다 숨다 오히려 살기 살기 위해 살인마 살인마 머리 머리 때리다 때리다 달려들다 달려들다 택 몇몇 몇몇 악질 악질 인성 인성 질 일삼 일삼 늘다 늘다 비 매너 매너 유저 버그 악용 악용 같다 팀 눈쌀 눈쌀 찌푸리다 찌푸리다 만 채팅 채팅 상대방 상대방 비다 비다 깎다 깎다 내리다 내리다 언행 언행 아무렇다 아무렇다 않다 하다 유저 굉장하다 굉장하다 많다 많다 본인 본인 대부분 대부분 생존자 생존자 주로 주로 하다 유저 간혹 간혹 가다 가다 살인마 살인마 걸리다 걸리다 때 게임 하다 열 아홉 채팅 채팅 타인 비다 비다 유저 만나다 만나다 되다 굳이 굳이 채팅 채팅 아니다 탈출 탈출 하다 직전 직전 나가다 나가다 살인마 살인마 괴롭히다 괴롭히다 멘탈 멘탈 나가다 나가다 덤 가끔가다 가끔가다 한번 플레이 하다 굉장하다 굉장하다 많다 많다 스트레스 스트레스 받다 받다 살인마 살인마 주로 주로 하다 유저 얼마나 더 심하다 심하다 물론 강하다 강하다 멘탈 멘탈 실력 실력 있다 사람 그거 그거 극복 극복 하다 재미 재미 느끼다 느끼다 하다 멘탈 멘탈 약하다 약하다 사람 살인마 살인마 추천 추천 하다 않다 참고 참고 출시 초반 초반 정말로 정말로 매일 매일 판 핵 만날 만날 정도 정도 핵 판 치다 치다 이제 유저 빠지다 빠지다 핵 같이 빠지다 빠지다 건지다 건지다 아니다 핵 잡다 잡다 프로그램 프로그램 바꾸다 바꾸다 건 최근 최근 게임 하다 거의 핵 보지 보지 하다 어쩌다 어쩌다 한번 은근 은근 슬쩍 슬쩍 쓰다 쓰다 핵 들이다 들이다 보이다 보이다 예전 예전 비 하다 게임 하다 정도 정도 아니다 어느 게임 핵 완전하다 완전하다 박멸 박멸 하다 순 없다 때문 지금 게임 시작 시작 하다 분 이 게임 추천 추천 하다 솔직하다 솔직하다 말 하다 글쎄 글쎄 굳이 굳이 사서 사서 게임 즐기다 즐기다 싶다 싶다 친구 친구 명 모으다 모으다 사설 사설 게임 초보자 초보자 끼리 끼리 즐기다 즐기다 낫다 많이 많이 빠지다 빠지다 유저 탓 남다 남다 유저 대부분 대부분 정도 정도 플레이 많이 많이 해보다 해보다 고여 고여 있다 유저 많다 많다 뭣모르 뭣모르 처음 처음 시작 시작 하다 초보자 초보자 숨다 숨다 숨다 숨다 같다 팀 채팅 채팅 욕먹다 욕먹다 발전기 발전기 돌리다 돌리다 돌리다 돌리다 욕먹다 욕먹다 경우 경우 허다 허다 개인 개인 초보자 초보자 전용 전용 튜토리얼 튜토리얼 추가 추가 개선 개선 해주다 해주다 함 나 이 게임 롱런 롱런 하다 비다 비다 이대로 이대로 잠깐 반짝 반짝 사라 사라 지기 지기 게임 너무 재밌다 재밌다 나 정도 정도 인생게임 인생게임 생각 하다 때문 남다 남다 유저 또 새롭다 새롭다 시작 시작 하다 되다 유저 만족 만족 시키다 위해 선 개발 개발 진 측 수많다 수많다 수행 수행 착오 착오 거치다 거치다 꾸준하다 꾸준하다 밸런스 밸런스 패치 하다 그 유저 개인 개인 인식 인식 조금 바뀌다 바뀌다 하다 바램 바램 있다 같이 게임 플레이 하다 사람 서로 서로 간 예의 예의 좀 지키다 지키다
Propnight,그렇다 살인마 살인마 생존자 생존자 밸런스 밸런스 맞다 맞다 않다 최근 최근 패치 밸런스 밸런스 최악 최악 되다 힘겹다 힘겹다 생존자 생존자 잡다 잡다 근처 근처 의자 의자 없다 생존자 생존자 옮기다 옮기다 이속 이속 너무 느리다 느리다 놓치다 놓치다 되다 살인마 살인마 머리 머리 밟다 밟다 스턴 스턴 걸리다 걸리다 거 판정 판정 너무 좋다 좋다 이미 이미 인물 인물 살인마 살인마 스턴 스턴 걸다 걸다 다니다 다니다 농락 농락 다니다 다니다 생존자 생존자 살인마 살인마 승리 승리 조건 조건 차이 차이 너무 심하다 심하다 생존자 생존자 명 잡다 잡다 명 놓치다 놓치다 살인마 살인마 패배 패배 임 명 탈출 탈출 나다 나다 살인마 살인마 향 생존자 생존자 농락 농락 시간 시작 시작 되다 명불허전 명불허전 짱개 짱개 핵 이건 이건 게임 문제점 문제점 그냥 중국인 중국인 닉네임 닉네임 보다 매칭 매칭 취소 취소 하다 멘탈 멘탈 좋다 좋다 다 들다 들다 살인마 살인마 하다 싫어하다 싫어하다 생존자 생존자 하다 하니 하니 생존자 생존자 선택 선택 시 매칭 매칭 자다 자다 안되다 살인마 살인마 유저 없다 생존자 생존자 매칭 매칭 하다 살인마 살인마 되다 경우 경우 많다 많다 살인마 살인마 걸리다 걸리다 대부분 대부분 유저 나가다 나가다 매칭 매칭 안되다 악순환 악순환 반복 반복 게임 자체 자체 정말 재밌다 재밌다 밸런스 밸런스 관련 관련 하다 패치 신중하다 신중하다 하다 함 최근 최근 패치 진짜 진짜 살인마 살인마 호구 호구 만들다 만들다 살인마 살인마 대한 상향 상향 시급하다 시급하다
