game,review
Football Strike: Online Soccer,버그 사항 1. 플레이도중 갑자기 튕기는 현상(너무 잦음). 이 상태에서 나가면 바로 짐 2. 잉글랜드나 스페인 이런데 가면 만나는 사람들이 거의 비슷한데 그중에서 내가 점수를 따도 아웃 처리 되는 경우가 있는데 그런 경우가 특정 플레이어한테서만 나타남. 따라서 버그를 악용하는 핵으로 추정됨 또한 버그 악용하는 플레이어들은 대부분 승률이 90%이상이며 대부분 골을 안막음. 이런 심각한 버그들좀 빨리 고쳐주셈
Football Strike: Online Soccer,게임 잘 즐기고있다가 갑자기 게임 들어갔는데 화면에 아무것도 클릭이 안됩니다... 그리고 온라인 대전에서 튕김 오류도 잦은 편입니다. 또 광고를 봤는데도 안봤다고 오류가 나며 오류가 굉장히 많아 불편을 겪고있습니다.. 화면 클릭 아무것도 안되는 오류는 뭘 어떻게 해야할지를 모르겠네요.. 재밌게 즐기고 있는데 갑자기 안되니 당황스럽네요.
Football Strike: Online Soccer,"제가 오늘 Magic Season경기도중 두번 지고 계속이기던 도중에 6판째이기고나서 렉걸리면서 화면이 정지되더라구요.. 데이터에는 이상없었고 아무것도 누르지않은 상태였어요. 홈에 나갔다가들어오니 세번진걸로되서 재입장이불가하고 티켓한장이 소모되더라구여. 저번에도 이번과같이 그러던데, 이때까지두번정도 이런경우가 있었어요. 보상 해주셔야되는거 아니에요? 캡처한 사진도 있습니다."
Football Strike: Online Soccer,슈팅은 짧고 빠르게 하면 좋은점인데요 한번슛하면 언제는 슛하는 장면만 나오고 골을 안넣어줍니다 그리고 커리어에서 시간이 지나면 시간 추가하기가 나옵니다 근데 돈이 9원이라서 눌러봤더니 처음 시작하는것처럼 숫자가 나오고 슈팅을 하려고 누르자마자 패배했다고 나옵니다 그냥 돈낭비만 하는거 같습니다 그리고 골키퍼를 할때 분명히 골키퍼가 공을 막았는데 공이 골키퍼 손을 뚤었습니다 저는 너무 억울합니다 그리고 제가 상대를 이겼는데 상대가 튕겨가지고 저는 돈을받았다고 생각을했는데 로비로 이동됐지만 돈을 못받았습니다 운영자님 제발 게임 상태보고 게임 버그 제발 고쳐주세요.
Football Strike: Online Soccer,버그가 많네요 대륙드립부터 상대가 나간거같은데 계속 공차는 장면만 보여지고 게임 진행이 안되서 기권했더니 졌다고 처리 되네요 고쳐주세요
Football Strike: Online Soccer,운영자님 버그 좀해봐여..젤 큰25만원짜리 승부차기방에서 렙11짜리한테3번이나 핵을 써서 졌는데요..제골은 넣는데도 안들어간걸루 데고 상대건 드러간걸루데여..어떻게좀 해봐요 사진까지 찍어놨어요..
Football Strike: Online Soccer,친구와 대전을 하려하면 다른대륙에 있다며 대전이 안되는데 어떻게 해야되나요? + 다른 친구들 보면 과녁 맞추는 대전도 있던데 저는 아예 뜨질않네요.
Football Strike: Online Soccer,할려고 해도 끈킵니다.시작하고 돈내는 장면 나오고 기다려도 시작안해서 나갔다오면 돈 사라져있음 버그 때문에 2골 넣는데 상대가 넣고나서 0골됨
Football Strike: Online Soccer,"매칭이 된 후에 게임이 시작이 안되고 화면 멈추는 현상이 잦습니다. 그럴 경우, 매칭이 될때 소모된 골드는 전부 증발합니다. 이러한 상황때문에 많은 양의 골드를 잃어버리는 경우가 너무 많습니다. 이러한 스트레스를 받기 싫으시다면 이 게임을 설치하지 마세요."
Football Strike: Online Soccer,이거 슈팅차는맛이있어서 재미있는데 경기에서 많이지면 그만큼 코인도 날라가서 코인을 다시모으려면 다시경기를해야하는데 예를들어 코인이100이면 100코인을 더 모아야해서 가방을 돈으로열던가 무료보상을 받으려고 시간이걸립니다ㅠㅠ 그러니 코인이나 돈을 조금만 무료로 얻을수있게 해주셧으면합니다 감사합니다
Football Strike: Online Soccer,개망겜게임 터치를해도 안움직이고 차는시간 지났는데 골이ㅣ돼냐 X발 별점 1개도 아깝다
Football Strike: Online Soccer,이게임은스릴감넘치고재미있고광고도별로없고아에없는건가?몰르겠는데돈도넉넉히주고재미가있내요
Football Strike: Online Soccer,마침축구연습을하려고 했는대 아빠가이게임하레서해봤는데 너무제미있어요!
Football Strike: Online Soccer,이거 절대 하지마세요 이거 광고 볼려고 상자 열었지도 못했어요 한 광고만 7번은 봤어요
Football Strike: Online Soccer,아니 골키퍼 뭐 렉 뭐임?조작도 어렵게 해놓고 그리고 뭐 갈수록 잘막아짐 아니 내가 차면 다 막아버림 이것땜에 킹받음 와 그리고 조작도 너무 어렵고 특히 골키퍼 넘 어려움 이렇게 만들고 겜 하란 말이야?그리고 이탈리아 리그인데 한번 지면 돈이 너무 많이 빠져나감 2번연속질땐 거의 미국 리그 해야 할 수준 그리고 상자깔때 일반 상자 등 왜 바로까는데 18원이 빠져나감?와 진짜 이런게임 첨 본다
Football Strike: Online Soccer,골을 분명히 2번넣었는데 리셋이되버리네?... 하참나 어이가없어서 뭔 이딴 게임이있어...---- 코인다잃었다 지금 뭐하자는거야 별 하나도 아깝네
Football Strike: Online Soccer,"이건 솔직히 1점도 주기 아까웁니다. 제가 3ㄷ1 로 이기고 있었는데 왜 마지막에 1ㄷ3이 돼어 제가진거죠? 이건 정말 말도안됍니다 여러분들이 제 리뷰를 읽으셨다면 지금 당장 깔지마시고,깔고계시다면 제거 하시는걸 강추 드립니다."
Football Strike: Online Soccer,정말 말도 안됩니다. 500원 짜리 판 하면 잘 되다가 2500원 판만 하면 정말 귀신같이 갑자기 로딩만 됍니다. 계속 그래서 나갔다 들어오면 돈 없어져 있습니다. 핵인지 뭔지 정말 말이 안됩니다. 수준이 심각합니다
