game,review
Combat Quest - Archero Action,"개같은 조합시스템(동일장비+동일장비+한등급낮은장비3개) 개같은 최적화문제, 개같은 탄속. 개같은 맵크기. 개같은 회피.여태껏 해본 동일장르 게임중 가장 쓰레기다. 특히 맵은 작고 탄속은 개빠르며 회피시 스쳐도 판정들어오는 부분은 그냥 처 맞고 뒤지라는 거다. 피로도 소진시 보석충전 불가 및 오로지 아이템으로 충전가능하며 아이템은 진행보상과 현질로만 얻을수 있고 진행을 못하니 돈주고 살수밖에 없는 현실. 장단점을 쓰러왔는데 타게임대비 단점만 부각될 정도로 차별성도 없고 특이점도 없고 그냥 현질요소만 개같이 떡칠만 더 해서 나온 게임."
Combat Quest - Archero Action,피격 범위가 ㅈ 같은건지.. 아니면 케릭터 회피 범위가 ㅈ 같은건지. 뭔 투사체가 날라오는 족족 데미지가 중복으로 들어오면서 어느정도 스테이지 가면 깰 수가 없네 ㅋㅋ
Combat Quest - Archero Action,굿... 난이도는 높음..! 에너지 수급할곳이없음.. 한시간에 10분에 에너지 1 차는건 너무함.. 그리고 함정 첼린지 아주쉬움모드인데 몸한테 몇대맞으면 사망하네 .. 패치좀해라...!
Combat Quest - Archero Action,이게임류 많이 해봤는데 이렇게 그지같은 스킬만 계속 나오고 난이도 극악은 처음 해보네 게임을 재미로 스트레스 풀이용으로 해야 되는데 더 스트레스 받는거 같아서 다음 패치 되는거보고 손절 할 생각임 옆에놈 같이 맞는스킬 하도 안나오니 이름도 생각안남 쓰잘데기없는 얼음 불 이속 이딴거만 더럽게 많이 나옴 게임의 재미를 높여줘야 하고 싶은 생각이 나지
Combat Quest - Archero Action,광고제거를 구매했는데 광고가 계속 뜹니다 해결해주시거나 결제취소 부탁합니다
Combat Quest - Archero Action,"업그래이드 좀 하이소! 스테이지 깨는 맛으로 하는데 다 깨고나니 할게 없네. 현질 또 할테니 하드모드,헬모드 이런거하고 주간미션,달성미션도 얼른 좀 해주이소"
Combat Quest - Archero Action,"말도 안되는 몬스터의 투사체속도,발사속도,이동속도,체력,공격력 왠만한 현질로는 게임못함 때려 넣든가 접든가 둘중하나"
Combat Quest - Archero Action,광고 없애는거 결제 했더니 다시 뽑는거 자체가 안나옴. 이럴거면 광고 보고 다시뽑기 하는게 낫지 필요한 스킬은 극악으로 나오고 괜히 결제 했네 이럴거면 환불해주쇼
Combat Quest - Archero Action,3일째 하는데 렉인지 버그인지 맵중간 나오는 마법사 광고 보면 생명력이나 공격력 주는거 광고 한 20번 봤는데 공격력은 수치로 안나와서 모르겠는데 생명력은 볼때마다 안오르네요 그리고 50판짜리 하면 40까지 빡시게 가면 41부터는 밸런스가 너무 안맞는게 때려도 때려도 피가 거의 안다네요 40보스보다 41 몹이 더 잡기 힘드네요
Combat Quest - Archero Action,"게임 갈수록 개판이네.. 이벤트 200원이라고해서 결제한 20000원 결제되고, 왜 그런거라고 문의하니 영어로만 문의가능하다고 해서 영어로문의하니 대답없고, 업뎃하고나서 왜 강제 튜토리얼을 진행하게 하는건데요? 튜토리얼 제대로 된것도 아니고 무슨 카드를 누르란건지 그냥 카드를 누르라고만 나오고 진행도 안되고...진짜 짜증나게 하네"
Combat Quest - Archero Action,뭔 아이템을 이렇게 안주냐...다이아 300짜리 상자를 열어도 전부 고급아이템만 주네..궁수 게임중에서 아이템을 제일 안주네..레어템 얻기도 힘들고 여태까지 에픽아이템 하나도 안줌. 현질로 다이아 사서 다이아 2600짜리 사라는것밖에 없네..최소한 레어템이라도 잘나오게 하던가..
Combat Quest - Archero Action,과금도 하고 열심히 키우고있는데 갑자기 스테이지 시작하자마자 겜이 튕기질않나 미사일 피하는중에 멈추질않나 다시 켰더니 이젠 데이터 초기화 시키고 과금 페이지만 보여주네요 돈만 내라는건가 못해먹겠네요
Combat Quest - Archero Action,대체 광고제거로 할수있는게 뭐가있는거죠 환불신청하고싶어요
Combat Quest - Archero Action,계정 연동 하는 기능은 없나요? 단말기를 바꿨는데 처음부터 다시해야하니 불편 합니다
Combat Quest - Archero Action,끊기고 멈추고 난리도 아니네 과금러만 게임하라는건지 몹들 난이도가 말도안되게 높네 한방컷 아니면 피하지도 못할 상황이 한둘도아니고 그래픽만 발전됐지 다른건 전버젼만 못하다
Combat Quest - Archero Action,롁걸례서 나갔다가 들어오면 무한 로딩걸 리네요..지웟다가 다시 깔면 조금 되었다가 다시 렉 걸리고 다시 무한 로딩 반복
Combat Quest - Archero Action,무슨 업데이트가 이 모양이지? 보스 잡았는데 에너지가 왜 에너지가 안 채워지냐고? 게임 하지말라는거네.. 짜증나게
Combat Quest - Archero Action,👍 game 재미는 있는데 억지가 좀 심하네. 쉬지안고 저렇게까지 쏘아대면 저걸 어떻게 피해.
Combat Quest - Archero Action,"광고 제거 때문에 ₩6,500 지불했는데 광고 여전히 나옵니다. 조치를 해주시던 환불 바랍니다."
Combat Quest - Archero Action,업뎃이후.접속해서겜이시작이안되네여? 모하자는건지 짜증만이빠이
Combat Quest - Archero Action,이벤트 게임 난이도 보소 ...좋은 말을 해줄수가 없네요 에너지도 만땅이 달랑 20 5판 하면 끝인데 이벤트는 2판이죠 ? 해보고 이벤트 난이도 정한건지 ? 본인들이 갬좀 해보고 이벤트 난이도 정하세요 뭐하자는 건지... 리니지 처럼 현질 몇천 하고 합니까? 적당히하세요 . 겜접습니다 패치 받기 전까지는 그럭 저럭 할만 하두만 패치되고 두판하고 하기 싫어 지네요 운영좀 잘합시다
Combat Quest - Archero Action,업데이트 되고 나서 튜토리얼인지 글자 안나오고 점 몇개 찍힌거 누르다 보니 렉인지 아무것도 안눌러지고 그냥 게임 정지됨
Combat Quest - Archero Action,활슈팅게임 뭐..다 비슷하다. 그중 이 게임은 클리어한 웨이브는 다음 플레이시 클리어한 다음 웨이브부터 시작 해야하는데 다시 1번 웨이브부터 시작이야... 너~무 지겨워서 삭제하고 리뷰 쓴다.
Combat Quest - Archero Action,적이 쏘는 탄 너무 빠른거 아닌가? 거기다가 벽반사 탄 6발을 어떻게 피하나? 밸런스 개. 벽반사 탄 마자주고 바로삭제
Combat Quest - Archero Action,처음부터 정보만 털어갈 생각이고 그냥 확인버튼 누르라고만하고 약관도 없고 왜 과금 천만원 땡기지 ㅉㅉ
Combat Quest - Archero Action,"재미는 있는데.. 일일출석보상이 리워드불가로 획득이 안되고, 스페셜오퍼가 90%할인가격으로 구매가 안됩니다."
Combat Quest - Archero Action,왜 제 리뷰 없어졌죠? 완전 짜증이네 현질한거 전부 돌려놔요 이거 무슨 게임 안된다고 하니 리뷰 지워버리네 하루종일 게임 못하네 운영자가 있긴있는거냐 운영 이렇게 뿐이 못하냐
Combat Quest - Archero Action,한글판없넹 영어 뭔지몰라 답답한 걍 삭제함 아이템을 구라
Combat Quest - Archero Action,게임이너무다재다능하고흥미로워서자꾸만하고싶어요*^.^**^.^*♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎♥︎
Combat Quest - Archero Action,저장이 안된다고 리뷰를 남겼었는데 몇달 후에 달린 답변은 많은것이 바뀌었다고 한다. 하지만 게임 패치는 약간 되었으나 여전히 세이브 기능은 없다. 고로 삭제.
Combat Quest - Archero Action,CB MASS MY FRIEND BA SAY THAT IS GOOD
