game,review
Empire Defender TD: Premium,아니 유료 버전 돈 내고 받았는데 왜 1챕터 10에서 보스 깨도 안넘어가나요? 두번 했는데 두번 다 안넘어가지는데 짜증납니다. 빨리 대처방안 알려주세요
Empire Defender TD: Premium,20스테이지 몬스터 다 죽여도 완료안되는 버그있다. 그래서 더이상 진행불가.
Empire Defender TD: Premium,"역시, 믿고 기다린만큼 재밌음. 물론, 이제 시작이라 앞으로 어떤식으로 발전하냐에 따라 다르겠지만 확실한건 재밌음 :)"
Empire Defender TD: Premium,영문판으로 했던 듯 한데.. 한글화 되었나 보네요. 재플레이해도 손맛이 좋습니다.
Empire Defender TD: Premium,20번째 맵에서 모든웨이브 막았는데 왜 클리어가 안되나요? 여기서 계속 멈춰있네요
Empire Defender TD: Premium,5/23일 업데이트하고 나서 seasonal battle pass premium창이 활성화 안됨. I bought premium battle pass but its not work after update
