game,review
Breaker Fun-벽돌 깨기 및 구조 게임,1. 최근에 나온 광고랑은 전혀 다른 게임 2. 벽돌 깨서 별 얻어서 집 꾸미면 되는데 시작은 별 2개 몇판하면 별이 10개 이상씩 필요함. 3. 광고... 미치게 나옴.... 광고 보면 뭘 주긴 하는데 광고 보기 싫어서 안받으면 그래도 두판에 한번은 광고 나옴 4. 하루 하다보니 내가 뭘하고 있나 생각듬.. 5. 이런저런 광고부터 재미... 이런거 생각하고 게임 깔면 며칠 지나서 접속 안하게 될게 분명함
Breaker Fun-벽돌 깨기 및 구조 게임,"갈수록 빡치는 겜. 처음엔 킬링타임용으론 좋았지만 광고 빈도수가 솔직히 너무 심함. 잼나게 하다가도 광고 때문에 빡쳐서 그냥 강종한적도 있음. 광고 성가시냐면서 계속 현질 유도. 퍼즐인지 아니면 현질 유혹 게임인지 이젠 구분 안될 장도. 이게임이 주로 해대는 선정적 광고같은 장면 절대 없고, 이런 낚시성 쓰레기 광고로 어그로 끌어서 겨우 이용자 모으기 해대는 게임은 어떤 게임인지 뻔할거임. 시간 날리지 말고 다들 알아서 잘 생각해보길."
Breaker Fun-벽돌 깨기 및 구조 게임,별 하나주기도 싫습니다. 게임이 전체이용가이면서 광고는 왜그렇게 선정적이게 만들었어요 ? 다른 게임하다 이 게임이 광고로 계속해서 나와서 꼴보기 싫었는데 초등 저학년 아이가 광고 보고는 한마디 하길래 열받아서 이 게임 다운받고 리뷰씁니다. 광고를 내보내야 먹고살겠지만 전체이용가 하려면 광고를 이따위로 내보내지말던가 아님 전체이용가를 하지말아주세요. 제발 부탁드립니다.
Breaker Fun-벽돌 깨기 및 구조 게임,광고랑 설명 이미지에 나오는 여자 캐릭터 돕는 건 언제 나오나요... 그것 때문에 다운 받았는데 캠핑장 꾸미기만 나와서 흥미가 떨어집니다. 그 외에도 다른 게임 하다가 보이는 이 게임 광고 중 불쾌한 광고가 많아요. 애들이 볼 수 있다는 걸 고려하시길 바랍니다
Breaker Fun-벽돌 깨기 및 구조 게임,나름 재밌게 하고 있었는데 모험84에서 갑자기 화면이 아래로 떨어지면서 ' you lose ' 라고 뜨는 에러가 발생합니다. 에러때문에 깰 수가 없네요...
Breaker Fun-벽돌 깨기 및 구조 게임,"전체이용가라면서 광고를 그 따위로 해놓으면 어떡합니까? 등급이 전체이용이면 초등학생도 볼 수 있는 광고인데 쇼파에 몸비비기, 옷 벗기기가 정상적인 광고 정책입니까? 역겹네요."
Breaker Fun-벽돌 깨기 및 구조 게임,재밌긴 한데 광고가 많아도 너무 많아요~~한단계 넘어갈때마다 광고가 1~2개씩 봐야함~~
Breaker Fun-벽돌 깨기 및 구조 게임,"광고제거 결제했는데,, 먼가요? 광고는 많고,, 어떤 광고를 제거 한다는고?"
Breaker Fun-벽돌 깨기 및 구조 게임,광고는 여자들 옷 벗기는걸로 해놓고 실제는 전혀 다름 게임 자체는 나쁘지 않지만 광고를 사기침 ㅋ
Breaker Fun-벽돌 깨기 및 구조 게임,첫화면부터 광고만 광고가 가득 가득.. 광고로 열심히 해 볼려면 한번 해보세요 수시로 광고만 중간중간에도 끼워넣기 광고 그만해 제발
Breaker Fun-벽돌 깨기 및 구조 게임,다른 게임하다 광고 뜨는데 볼때마다 혐오감드네요 광고를 아이들이 볼거란 생각은 안하나요? 당장 광고 지우고 다시 제작하세요
Breaker Fun-벽돌 깨기 및 구조 게임,"광고제거 구매해도 가끔씩 나오던 5초이내 강제광고만 사라질뿐, 스테이지 시작전 +10볼이나 스테이지 클리어 후 보너스 리워드 받으려면 여전히 30초짜리 광고 봐야함."
Breaker Fun-벽돌 깨기 및 구조 게임,광고가 많아도 넘 많아요. 겜플시간보다 광고 본 시간 더 많음. 비추.
Breaker Fun-벽돌 깨기 및 구조 게임,광고만 없으면 만족합니다 광고가 좀 많이나오는게 조금 흠이네요
