game,review
Stickman Archer 온라인,별은 4점을 주었다 왜냐하면 이 게임은 재미있지만 버그있었다. 그래서 나는 화가난다. 무슨 버그이냐면 활을 쌀려는데 화면만 움직이고 활은 쏴지지 않았다. 이 버그 보안해 주었으면 좋겠다.
Stickman Archer 온라인,업데이트 너무 느려요 짜증 너무 납니다. 업데이트 할때마다 휴대폰 집어 던져 버리고 싶어지네요 잘 좀 합시다.
Stickman Archer 온라인,게임 밸런스도 잘맞고 무기 업그레이드도 힘들지 않게 할 수 있어서 좋네요.
Stickman Archer 온라인,재미있내요. 정말 광고도 별로 없고. 시간때우기로 좋은 게임이내요. 상대편 매칭될때 편차도 심하지 않구요
Stickman Archer 온라인,단순하면서도 집중도 강해시간 가는줄 모르고 하네요. 광고도 없고 좋아요
Stickman Archer 온라인,간결함 게임 중에 전체 맵 볼 수 있도록 해주시면 좋을거 같네요
Stickman Archer 온라인,잼나는데 스토리같은 컨텐츠도 있으면 좋겠어요 연습도 못하고 실전에서 배워라 이건가..
Stickman Archer 온라인,매칭 잘되고 레벨에 비슷하게 해줘서 시간 가는줄 모르고 하게되네요
Stickman Archer 온라인,컨텐츠 제안: 1.전적정보 알수있게 해줘요 2. 예전 포트리스의 장점 흡수해줘요
Stickman Archer 온라인,광고 보고나면 게임이 강종 되버리네요.. 광고도 안본걸로 되고...ㅡㅡ
Stickman Archer 온라인,시간가는줄 모르고 재미있네요 연습장이 있었으면 좋겠습니다
Stickman Archer 온라인,좋은 게임이네요 요즘 매칭이 인공지능으로 되는 느낌이 많아서 ㅠ
Stickman Archer 온라인,현질이랑 게임으로 2만 넘게 모아놓은 골드가 사라졌네요. 당황..
Stickman Archer 온라인,의외로 잼나요 ㅎㅎ 광고도 없구 잠깐이라도 하기 넘좋네요 ㅎㅎ
Stickman Archer 온라인,"아이템 박스, 아이템 너무 안좋은거만 줌,,,,넘짬,,,"
Stickman Archer 온라인,단순한거같은데난이도가쪼금있는거같아요^^. 시간도잘가요^^
Stickman Archer 온라인,아직 정확하게는 모르겠으나 조금만더 친절한 설명을좀 ㅋ 그러나 재미는있습니다
Stickman Archer 온라인,게임을 만들 거면 제대로 만들던가;; 뭔 만들다말아 놓고는 출시를해;;; 진짜 어이가없네 ㅋㅋ
Stickman Archer 온라인,승부도 빠르고 재밌습니다. 집중도도 높고 가끔하기에 좋네요
Stickman Archer 온라인,잼있는데 한글패치랑 좀더 다양한 스킬화살패치로 전략적으로 할수있었으면 좋겠어요
Stickman Archer 온라인,너무 재미있어요 옝날 포트릿ㄷ 게임 생각나넹ㆍㄴ굿굿굿 굿
Stickman Archer 온라인,시간때우며 하기 괜찮아요.. 듀터리얼이 좀 있었으면..ㅎㅎㅎ
Stickman Archer 온라인,아무 생각없이 하기 좋음 포트리스의 민족 한국인이 최고지 이런류의 게임은
Stickman Archer 온라인,잼나네요 포트리스 생각도 나고... 바람에 좀 더 예민하게 반응했음 좋겠네요..
Stickman Archer 온라인,정말 재미 있는 게임이네요. 턴도 정말 빠르고..... 기다리던 게임입니다.
Stickman Archer 온라인,포트리스 좋아하시면 해보세요 재믺습니다 잘만들었네요~영문인게 아쉬움
Stickman Archer 온라인,잼나내오ㅗ 궂. 자주할거샅아요ㅛ 온라이 맞대겨ㅕㄹ마도ㅑ 면
Stickman Archer 온라인,정말 시간 가는줄 모르겠슴. 해보면 암. 중국양산형겜이랑 수준자체가 틀림
Stickman Archer 온라인,상자를 열어도 돈이 안들어옴 10개열면 3개는 안들어옴 사기
Stickman Archer 온라인,아직 메롱기능 안 없앴나? 한글 몰라? 번역안돼? 그래가지고 돈 벌겠어? 얼렐레 메롱 메롱. 게임에서도 놀려지는데 여기서도 해도돼지? 돼지? 돼지? ㅋㅋㅋㅋㅋㅋㅋ 개발자 에베베~
Stickman Archer 온라인,무과금 오래하기 좋고요 1대1 포트리스 너낌 슈팅 게임 입니다 추천 합니다
Stickman Archer 온라인,브롤과 클로를 카피한 시스템 하지만 너무 잘만든 게임플레이
Stickman Archer 온라인,재밋어여 독수리맵 매으 짜징나지맠 은근 살떨 려요ㅛ ㅋㅋ ㅋㅋ
Stickman Archer 온라인,"재미지미, 존잼,재미지미, 존잼,재미지미, 존잼,재미지미, 존잼"
Stickman Archer 온라인,Im such a big fan of this game but production of some resources here need to be seriously redesigned. I got plenty of coins(33m+) and keys(a couple of hundreds) even after all the upgrades and chest box opens made and they keep accumulating for doing nothing.
Stickman Archer 온라인,"It's my style ^^ So cool ‐-----------------'-''"""":::::::::::^^^^^^^^^^^^"
Stickman Archer 온라인,My coin changed when I played everytime
Stickman Archer 온라인,It's so simple & exciting game~^^
Stickman Archer 온라인,음.... 슈팅겜같이좋아요 제일좋은점:광고가 없다 최고조 요줌이런게임들 다광거나오는데. 아무튼 굿 eng wow amzing game it have not many ads many this types of games have so many ads this game have no ads have a enjoy! From coconut(player)
