game,review
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,"프리미엄 광고제거를 했는데 모든 광고가 제거되지않음 여전히 광고를봐야하는점(배터리,구호상자) 메가포스 기술 연구가 사용자가 원하는것을 올릴 수 없음 랜덤으로 스킬찍어짐 (혹시 Max수치가 있어서 나중엔 같아지는지?) 이런점들만 개선되면 좋겠습니다. 비행기 자체는 멋있고 종류가많아서 다른탄막슈팀게임보다 보는재미가 있어요."
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,20.3버전에서 업데이트이후 3d게임도 아닌데 프레임저하가 심하네요. 비록 제폰이 최고사양의폰은 아니지만 2d게임이 버벅될정도는 아닌데 20.3버전에비해 ui말고는 그래픽이 바뀐거같지는 않은데 많이 버벅대네요. 같이하는 지인도 그렇다는거보니 폰문제는 아닌거같은데 뭔가 문제가있는듯.. 거기에 업데이트하며 유저들 혜택은 대폭줄이고 현질유도하는건 덤이네요.ㅋㅋ. 새로운 스테이지 생긴거말고는 어찌 업데이트 될때마다 더안좋게 바뀌는지...
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,속임수/해킹 감지로 인해 계정이 임시 정지되었다는 문구만 나오고 게임실행을 할수가 없네요 뮈하는 건가요? 빠른 오류수정 바랍니다
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,멀티플레이 모드에서 화력부스터 7단계이상 안올라가는데 이유가 뭔가요? 다들 10단계올라가는데요ᆢ 싱글에서는 10단계데고요 ᆢ프리미엄구독중이고요ᆢ근데멀티 플레이에서만 안됨니다 이유좀알려 주세요
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,공짜선물이라고 광고 볼라치면 화면이 멈춰요. 10번 가까이 제접속을하니...수정요청해요. 버그도 많고.... 열심히 일 하셔야 합니다.
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,업데이트하고나서 안되는게 많내요. 구호상자도 안되고 공짜선물 광고보기도안되고 뭐하는 건지 모르겠내요.
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,이해가 안되는 부분들이 참으로 많으네요 게임의 방식을몰라서 일까요 핸폰바꾸었더니 초기화로 되돌아가서 짜증나네요ㆍ
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,1945 그 게임처럼 좋긴 한데 체력바가 있으면 좋겠어요! 무슨 조그만한 공격 한번에 바로 죽고 그래서.... 체력바가 있으면 더 재밌을 것 같아요!
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,gem 얻으려고 럭셔리 퀘스트 수행하고 있는데 처음에는 잘 지급되는가 싶더니 최근에는 지급이 안되고 있네요. 괜히 시간만 낭비한건지~~ㅠㅠ
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,업그레이드 하고 비행기가 움직이지 않아서 게임을 할수가 없네요 ㅡㅡ 돈도 많이 썼는데.... 빨리 수정됐음 좋겠어요
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,재밌어서 현질하면서 단계높여놓고 휴대폰 바꾸고 옴겨담았는데 로그인해보니 처음으로 돌아갔어요 찾을방법없나요 좋길래 현질해놓은 다른게임 모두삭제시키고했드만..황당스럽게시리
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,광고후보상없고 영상만계속 보길강요 영상 강제삭제에 영상도 강제로닫아버림 별하나주기도 아깝네
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,"아이가 체험판으로만 가끔 게임을 하는데 32,000원이 결제됐습니다. 어떻게 어떤 아이템을 구매했는지도 모르겠고, 실수로 결제가 진행되어 48시간 내에 환불요청 했는데 Playon에서는 정책상 환불불가라고 하니 여기에 의견남깁니다."
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,광고 이딴식으로 쳐만들지 말아라 좀 광고 끝났는데 아무 버튼도 없이 몇분을 기다리게 만드는거임? 답도 없네 그냥ㅋㅋㅋ
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,스트레스 풀 수있게 해줘서 고맙소 오늘도 얼마 남지 않은 시간이지만 끝까지 재미있게 잘 지냅시다 화이팅 아싸
Galaxiga 클래식 아케이드 - 비행기 슈팅 게임,멀티모드에서 지속적으로 에러가 발생해서 젬을 계속 날리게 됩니다. 항의를 했으나 내 폰이 문제거나 인터넷 접속이 문제라고만 하는군요. 나 뿐만이 아니라 이런 문제를 제기한 유저가 많다고 알고 있어요. 분명히 그쪽 서버의 문제거나 고의적 에러입니다. 고치거나 시정할 의지가 없어요 저쪽은. 뻔뻔함에 몹시 불쾌합니다. 겜을 하다 보니 욕심 때문에 유료로 결제를 많이 했는데 어리석었네요 제가. 항의는 해 봤자 같은 말만 돌아옵니다. 앱을 제거하는 수밖에 없겠어요.
