game,review
Guns of Glory: 철가면,게임은 잘 하고 있눈데 접속시에 맨날 결제유도광고가 뜨는데 실수로 누르게끔 되어있어요. 매번 취소하는데 힘듭니다...이 부분에 대해서 수정이 필요하다규 생각합니다. 그냥 버튼 한번 잘못누르면 바로 과금이되요...과금을 안하지는 않지만 제가 원하는 아이템으로 과금해서 게임을 즐기려고 하는거지...대강 만든 패키지로 과금하려고 하는 건 아니거든요ㅠㅠ;;; 한 두번이 아니고 저 이외에도 이런 분이 많을 것 같습니다. 다음 업데이트 때 고려해주세요...
Guns of Glory: 철가면,접속하면 바로 과금유도창이 나옵니다. 그것을 의도치 않게 눌러 결제가 되었고 환불요청을 하니 게임 자체적으로 만든 시스템이 첫 결제와 함께 활성화가 되어 환불이 불가하다고 합니다. 위와 같은 문제인지 몰라도 원칙상 첫 환불은 무조건 불가능 하다는데 참.... 1년 넘게 게임 중이고 메인계정은 과금도 어느정도 했습니다. 과금유도 및 전쟁게임 답지 않은 패치등 불만족스러운 부분이 많기도하여 마음같아선 수차례 관뒀으나 연맹분들과 정이 들어 쉽게 접지못하네요.
Guns of Glory: 철가면,도저히 현질없이는 게임자체를 진행할수 없게 만들어 놓음. 여기저기 현질을 유도하는 키만 잔뜩 만들어 게임을 즐기는게 아니고 도박의 기본을 배우는 느낌. 물품구매도 옥션형식이라 모든게 사행성.. 전략게임도 아니고..그저 돈 쓰게하는 이상한게임이니 웬만하면 시작안하는것을 추천합니다. 절대 전략게임 아닙니다.
Guns of Glory: 철가면,상당히 좋아하는 스타일의 게임이라 단순히 통조림 얻으러 왔다가 빠져들어서 하고 있는데요. 상당히 재밌습니다. 다만 아쉬운건 보면 언어가 다양하던데 그나마 좀더 융화되려면 번역기능을 넣어주시면 다른나라 사람하고도 교류가 되지않을까요...?? 상당히 애먹고 있습니다. 최소한 영어 번역이라도 넣어주세요.
Guns of Glory: 철가면,연맹의 도움을 받아 5일만에 성렙 18레벨 달성함. 게임자체는 이전에 나온 같은종류의 게임들과 똑.같.음. 컨트롤c + 컨트롤v 한것같음.. 몹만 좀 바꾼듯.. 다만 이 게임은 버그가 좀 더 심함. 가방안의 아이템이 자꾸 사라짐. 가방 들어가서 보고있는데 실시간으로 사라짐. 그래서 재접해야함. 군주도 버그있는 놈이 있음.. 뽑았는데 최초보상을 못받음. 채팅창도 수시로 사라짐. 연맹원들이랑 채팅해야하는데 채팅창 자체가 없어져버려서 소통할 수 있는 방법이 없음. 아이템 사라지는게 제일 빡침. 멀쩡히 잘 있는 가속아이템 사라져서 재접만 몇번을 하는지.. ㅡㅡ 버그 고치지 않는이상 살아남기 어려운 게임임... 굳이 이 게임 아니어도 같은종류의 게임은 이미 차고 넘치므로 다른게임 보상받을려고 하는 것 외엔 추천하지 않음..
Guns of Glory: 철가면,다좋은데 1.전쟁나갈때 기병이면기병만 사수병사들이면병사들만 선택할수있게좀 부탁드립니다 2.전쟁시 영웅 선택에서 가장높은 스텟이라던지 추천하는 영웅선택할수있게 해주세요 3.농작물 수확시 하나만 클릭해도 다른 것도 알아서 회수될수있게해주세요.. 4.전쟁시 상대를 이길수있는 전력대로만 병사들을 선택해 보낼수있는 버튼좀제발 부탁드립니다. 쓸대없이 보내는병사들이..너무 많아요... 부탁드립니다 꾸벅
Guns of Glory: 철가면,"다른게임 보상을 얻기위해 이 게임을 깐유저 입니다~ 보상에 비해 성 레벨 올리는 속도도 적당한것 같고, 게임하는 방법이 나름 쉬워서 금방금방 할수 있는것 같네요! 개인적으로 만족하고 있지만 성 레벨을 올릴때 속도가 아닌 자원이 너무 들어서 아쉽네요. . 타게임에서 보상을 얻을려면 이정돈 해야겠죠? 자원만 덜 들면 충분히 할 수 있는 게임 같아요!"
Guns of Glory: 철가면,타게임 때문에 깔았는데 생각보다 재미있고 보상도 괜찮네요 건설 시간도 가속 아이템 많이 주셔서 좋구요 한 가지 단점을 말하자면 성 레벨 업그레이드 하는데 자원이 너무 많이 들어갑니다 나무 얻기가 너무 힘드네요 소비되는 자원을 줄여주시거나 나무를 많이 주신다면 좋을 것 같습니다
Guns of Glory: 철가면,제가 딴게임으로 부터 추천 받고 하는건데 아..추천 게임 다 재미없는데.. 라고 한번 해봤는데 용량은 좀 먹거든요? 노가다 게임도 아니고 잘알려줘서 되게 쉽고 재밌어요 레벨 올리는것도 쉽더라구요 생각보다 재밌어요! 어렵지도 않고 쉽고 퀘스트가 다 알려줘서 걱정 할 필요 없네요 감사합니다.
Guns of Glory: 철가면,혹시나 광고보고 시작하셨다면 삭제누르세요. 저두 광고보고 시작했는데 광고같은장면은 절대없구요. 어마어마한 현질만 유도하는 겜입니다. 이벤트조차 현질안하면 못합니다. 저두 혹시나해서 몇십만원 투자해봤는데 역시나 별반차이가 없네요. 만약 시작하신다면 서버 1위(서버가 한 200개 됩니다. 상호 교류는 안되구요)가 되지않는이상 나머지는 전부 바보입니다. 서버 1위되려면 몇천은 투자해야하는데 그거해봐야 100원짜리 템하나면 서버1위를 바보만드는 겜입니다. 현질만 유도하는 겜인데요. 현질가치를 못하네요. 그리고 이겜 리뷰가 잘 달리는데요. 질문과 상관없는 매크로에요 ㅡ.ㅡ ;;
Guns of Glory: 철가면,"타게임 보상으로 시작한건데요. 확실히 보상도 많이 주고 성 레벨도 올리기 좋아서 보상 미션 끝나면 진짜 이 게임 계속 해볼만 하다고 생각했는데,레벨 올리면서 보상 조금씩 받으면서 하다가 점점 올라가니까 미션 달성해도 타게임 보상 안줘버리네요^^ 여기서 이러는 거 부질없지만 대충 한번 보셨으면 하네요."
